Date,Return,% of Return
13/03/2014,-9.11089800000002,-1.510808147489044
12/03/2014,3.6513610000000654,0.6091727731436859
11/03/2014,-5.784219000000007,-0.9557835685401929
10/03/2014,-1.608410000000049,-0.2650689688309603
07/03/2014,-2.4075970000000098,-0.39520838358118765
06/03/2014,0.6743330000000469,0.11081479942161858
05/03/2014,1.6733460000000377,0.2757433142385617
04/03/2014,6.103881000000001,1.0160514218868177
03/03/2014,-6.473546000000056,-1.0660977031954124
28/02/2014,-1.7782479999999623,-0.2919961464905358
27/02/2014,-0.47946300000000974,-0.07866799913468855
26/02/2014,0.08488799999997809,0.013929957783648554
25/02/2014,3.741267999999991,0.6177273378601073
24/02/2014,4.355622000000039,0.7243738459102528
21/02/2014,-0.15980000000001837,-0.026568923045982174
20/02/2014,0.8840740000000551,0.14720570127781538
